[3259] Genel Hata: invalid color argument
[2357] Genel Hata: 'NoneType' object is not subscriptable
[2413] Genel Hata: 'NoneType' object is not subscriptable
[23677] Genel Hata: invalid color argument
[24260] Genel Hata: invalid color argument
[23081] Genel Hata: invalid color argument
[20294] Genel Hata: Oyun sıfırlanırken hata: Cannot choose from an empty sequence
[17604] Genel Hata: 'username'
[23502] Genel Hata: Oyun sıfırlanırken hata: Cannot choose from an empty sequence
[18521] Genel Hata: 'username'
[234102] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[234270] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[234436] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[234588] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[234772] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[234977] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[235092] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[235755] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[235936] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[236121] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[236300] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[236482] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[236669] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[236851] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[237019] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[237205] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[237372] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[237554] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[237703] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[237871] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[238054] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[238252] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[244313] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[244463] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[244628] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[244811] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[244977] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[245181] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[245327] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[245498] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[245665] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[245797] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[245964] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[246114] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[246260] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[246444] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[246612] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[246765] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[246933] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[247100] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[247266] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[247429] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[247580] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[247733] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[248200] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[248351] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[248501] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[252599] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[252768] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[252933] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[253102] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[253252] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[253452] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[253634] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[253801] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[253985] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[254135] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[254321] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[254489] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[254675] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[254841] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[255024] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[255191] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[255358] Veritabanı Hatası: Skor tablosu yüklenemedi: tuple indices must be integers or slices, not str
[265145] Genel Hata: Oyun sıfırlanırken hata: Cannot choose from an empty sequence
[20769] Genel Hata: Oyun sıfırlanırken hata: Cannot choose from an empty sequence
[1590] Genel Hata: 'GameState' object has no attribute 'error_message'
[1606] Genel Hata: 'GameState' object has no attribute 'error_message'
[1621] Genel Hata: 'GameState' object has no attribute 'error_message'
[1638] Genel Hata: 'GameState' object has no attribute 'error_message'
[1655] Genel Hata: 'GameState' object has no attribute 'error_message'
[1672] Genel Hata: 'GameState' object has no attribute 'error_message'
[1687] Genel Hata: 'GameState' object has no attribute 'error_message'
[1704] Genel Hata: 'GameState' object has no attribute 'error_message'
[1719] Genel Hata: 'GameState' object has no attribute 'error_message'
[1736] Genel Hata: 'GameState' object has no attribute 'error_message'
[1751] Genel Hata: 'GameState' object has no attribute 'error_message'
[1768] Genel Hata: 'GameState' object has no attribute 'error_message'
[1783] Genel Hata: 'GameState' object has no attribute 'error_message'
[1799] Genel Hata: 'GameState' object has no attribute 'error_message'
[1816] Genel Hata: 'GameState' object has no attribute 'error_message'
[1833] Genel Hata: 'GameState' object has no attribute 'error_message'
[1848] Genel Hata: 'GameState' object has no attribute 'error_message'
[1865] Genel Hata: 'GameState' object has no attribute 'error_message'
[1881] Genel Hata: 'GameState' object has no attribute 'error_message'
[1897] Genel Hata: 'GameState' object has no attribute 'error_message'
[1913] Genel Hata: 'GameState' object has no attribute 'error_message'
[1933] Genel Hata: 'GameState' object has no attribute 'error_message'
[1949] Genel Hata: 'GameState' object has no attribute 'error_message'
[1968] Genel Hata: 'GameState' object has no attribute 'error_message'
[1983] Genel Hata: 'GameState' object has no attribute 'error_message'
[2002] Genel Hata: 'GameState' object has no attribute 'error_message'
[2017] Genel Hata: 'GameState' object has no attribute 'error_message'
[2034] Genel Hata: 'GameState' object has no attribute 'error_message'
[2049] Genel Hata: 'GameState' object has no attribute 'error_message'
[2067] Genel Hata: 'GameState' object has no attribute 'error_message'
[2083] Genel Hata: 'GameState' object has no attribute 'error_message'
[2100] Genel Hata: 'GameState' object has no attribute 'error_message'
[2117] Genel Hata: 'GameState' object has no attribute 'error_message'
[2133] Genel Hata: 'GameState' object has no attribute 'error_message'
